gale_link,month,article,x2_var1,printedDate,st_caps,titleAbbreviation,st_nums,title,filepath,page,x1_var1,day,issueNumber,year,ltcount,block_number
http://link.galegroup.com/apps/doc/Z2001499347/BBCN,07,006,551320.6666666666,SATURDAY JULY 20 1745,0.6666666666666666,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/07/20/service,0004,1354501.5555555555,20,876,1745,98,2
http://link.galegroup.com/apps/doc/Z2001499463/BBCN,09,005,841352.1875,SATURDAY SEPTEMBER 28 1745,0.5,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/09/28/service,0004,1197553.0,28,886,1745,170,2
http://link.galegroup.com/apps/doc/Z2001499532/BBCN,11,001,547613.0,SATURDAY NOVEMBER 9 1745,0.25,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/11/09/service,0001,891367.734375,09,892,1745,515,3
http://link.galegroup.com/apps/doc/Z2000491115/BBCN,09,003,670509.6875,THURSDAY SEPTEMBER 18 1746,0.25,B0239GELOEVME,0.0,GENERAL LONDON EVENING MERCURY,/cygdrive/w/APEX/B0239GELOEVME/1746/09/18/service,0002,1354870.5,18,530,1746,254,11
http://link.galegroup.com/apps/doc/Z2000413521/BBCN,01,003,522452.25,FRIDAY JANUARY 18 1744-5,0.5,B0235GENEADVE,0.0,GENERAL ADVERTISER (1744),/cygdrive/w/APEX/B0235GENEADVE/1745/01/18/service,0002,1396533.6875,18,3175,1745,438,6
http://link.galegroup.com/apps/doc/Z2000413635/BBCN,02,004,530053.6875,MONDAY FEBRUARY 18 1744-5,0.75,B0235GENEADVE,0.0,GENERAL ADVERTISER (1744),/cygdrive/w/APEX/B0235GENEADVE/1745/02/18/service,0004,1190592.75,18,3201,1745,405,5
http://link.galegroup.com/apps/doc/Z2000413750/BBCN,03,003,513010.25,THURSDAY MARCH 21 1744-5,0.5,B0235GENEADVE,0.0,GENERAL ADVERTISER (1744),/cygdrive/w/APEX/B0235GENEADVE/1745/03/21/service,0002,1281101.5,21,3228,1745,408,7
http://link.galegroup.com/apps/doc/Z2000413753/BBCN,03,003,491283.6875,FRIDAY MARCH 22 1744-5,0.5,B0235GENEADVE,0.0,GENERAL ADVERTISER (1744),/cygdrive/w/APEX/B0235GENEADVE/1745/03/22/service,0002,988943.6875,22,3229,1745,398,4
http://link.galegroup.com/apps/doc/Z2000413877/BBCN,04,005,499275.25,TUESDAY APRIL 23 1745,0.5,B0235GENEADVE,0.0,GENERAL ADVERTISER (1744),/cygdrive/w/APEX/B0235GENEADVE/1745/04/23/service,0004,1125601.0,23,3256,1745,381,15
http://link.galegroup.com/apps/doc/Z2000414022/BBCN,05,002,673834.2448979592,FRIDAY MAY 31 1745,0.8571428571428571,B0235GENEADVE,0.0,GENERAL ADVERTISER (1744),/cygdrive/w/APEX/B0235GENEADVE/1745/05/31/service,0001,1140234.8163265307,31,3289,1745,90,6
http://link.galegroup.com/apps/doc/Z2000414097/BBCN,06,003,600166.56,WEDNESDAY JUNE 26 1745,0.4,B0235GENEADVE,0.2,GENERAL ADVERTISER (1744),/cygdrive/w/APEX/B0235GENEADVE/1745/06/26/service,0002,1149746.0,26,3311,1745,409,8
http://link.galegroup.com/apps/doc/Z2000414172/BBCN,07,001,636917.5555555556,WEDNESDAY JULY 24 1745,0.6666666666666666,B0235GENEADVE,0.0,GENERAL ADVERTISER (1744),/cygdrive/w/APEX/B0235GENEADVE/1745/07/24/service,0001,850179.5555555555,24,3335,1745,86,3
http://link.galegroup.com/apps/doc/Z2000415461/BBCN,07,004,494763.6875,WEDNESDAY JULY 9 1746,0.75,B0235GENEADVE,0.0,GENERAL ADVERTISER (1744),/cygdrive/w/APEX/B0235GENEADVE/1746/07/09/service,0004,1428688.5,09,3651,1746,393,6
http://link.galegroup.com/apps/doc/Z2000415473/BBCN,07,004,479514.6875,SATURDAY JULY 12 1746,0.75,B0235GENEADVE,0.0,GENERAL ADVERTISER (1744),/cygdrive/w/APEX/B0235GENEADVE/1746/07/12/service,0004,1367226.5,12,3654,1746,413,3
http://link.galegroup.com/apps/doc/Z2000415836/BBCN,10,009,589244.0,TUESDAY OCTOBER 7 1746,0.2857142857142857,B0235GENEADVE,0.42857142857142855,GENERAL ADVERTISER (1744),/cygdrive/w/APEX/B0235GENEADVE/1746/10/07/service,0005,1417791.3877551018,07,3726,1746,379,6
