gale_link,month,article,x2_var1,printedDate,st_caps,titleAbbreviation,st_nums,title,filepath,page,x1_var1,day,issueNumber,year,ltcount,block_number
http://link.galegroup.com/apps/doc/Z2001498983/BBCN,01,004,44832.666666666664,SATURDAY JANUARY 5 1745,0.0,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/01/05/service,0004,932960.888888889,05,848,1745,162,15
http://link.galegroup.com/apps/doc/Z2001499003/BBCN,01,004,57935.484375,SATURDAY JANUARY 19 1745,0.625,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/01/19/service,0004,1006516.9375,19,850,1745,273,3
http://link.galegroup.com/apps/doc/Z2001499090/BBCN,03,006,34225.0,SATURDAY MARCH 2 1745,0.5,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/03/02/service,0004,801025.0,02,856,1745,99,5
http://link.galegroup.com/apps/doc/Z2001499128/BBCN,03,008,135424.0,SATURDAY MARCH 23 1745,0.5,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/03/23/service,0008,709806.25,23,859,1745,95,10
http://link.galegroup.com/apps/doc/Z2001499141/BBCN,04,001,367345.36,SATURDAY APRIL 6 1745,0.7,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/04/06/service,0001,750786.9600000002,06,861,1745,801,5
http://link.galegroup.com/apps/doc/Z2001499236/BBCN,05,010,133225.0,SATURDAY MAY 25 1745,0.5,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/05/25/service,0008,736164.0,25,868,1745,98,5
http://link.galegroup.com/apps/doc/Z2001499269/BBCN,06,004,7921.0,SATURDAY JUNE 15 1745,0.5,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/06/15/service,0004,749956.0,15,871,1745,78,16
http://link.galegroup.com/apps/doc/Z2001499479/BBCN,10,011,114324.0,SATURDAY OCTOBER 5 1745,0.8,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/10/05/service,0009,690717.76,05,887,1745,124,1
http://link.galegroup.com/apps/doc/Z2001499523/BBCN,11,004,8587.387755102041,SATURDAY NOVEMBER 2 1745,0.42857142857142855,B0848UNSPWEJO,0.14285714285714285,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/11/02/service,0003,892620.1224489796,02,891,1745,115,8
http://link.galegroup.com/apps/doc/Z2001499537/BBCN,11,006,35651.22222222222,SATURDAY NOVEMBER 9 1745,0.8333333333333334,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/11/09/service,0006,711256.888888889,09,892,1745,354,8
