gale_link,month,article,x2_var1,printedDate,st_caps,titleAbbreviation,st_nums,title,filepath,page,x1_var1,day,issueNumber,year,ltcount,block_number
http://link.galegroup.com/apps/doc/Z2001499096/BBCN,03,012,37161.555555555555,SATURDAY MARCH 2 1745,0.6666666666666666,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/03/02/service,0008,1191109.5555555557,02,856,1745,42,9
http://link.galegroup.com/apps/doc/Z2001499104/BBCN,03,005,190768.66666666666,SATURDAY MARCH 9 1745,0.6666666666666666,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/03/09/service,0004,1183083.5555555557,09,857,1745,107,3
http://link.galegroup.com/apps/doc/Z2001499138/BBCN,03,008,24274.88888888889,SATURDAY MARCH 30 1745,0.6666666666666666,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/03/30/service,0008,1418669.5555555553,30,860,1745,153,3
http://link.galegroup.com/apps/doc/Z2001499277/BBCN,06,012,178753.55555555553,SATURDAY JUNE 15 1745,0.0,B0848UNSPWEJO,0.6666666666666666,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/06/15/service,0012,1174838.2222222222,15,871,1745,92,6
http://link.galegroup.com/apps/doc/Z2001499371/BBCN,08,008,153380.25,SATURDAY AUGUST 3 1745,0.5,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/08/03/service,0008,1153806.5,03,878,1745,179,1
http://link.galegroup.com/apps/doc/Z2001499417/BBCN,08,005,88.1875,SATURDAY AUGUST 31 1745,0.75,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/08/31/service,0004,1364914.25,31,882,1745,229,1
http://link.galegroup.com/apps/doc/Z2001499546/BBCN,11,005,78223.6875,SATURDAY NOVEMBER 16 1745,0.5,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/11/16/service,0002,1226472.1875,16,893,1745,183,12
http://link.galegroup.com/apps/doc/Z2001499658/BBCN,01,006,284552.6666666667,SATURDAY JANUARY 18 1746,0.3333333333333333,B0848UNSPWEJO,0.3333333333333333,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1746/01/18/service,0003,1566293.5555555557,18,902,1746,117,9
http://link.galegroup.com/apps/doc/Z2000490863/BBCN,05,007,3080.25,FROM THURSDAY MAY 29 TO SATURDAY MAY 31 1746,0.5,B0239GELOEVME,0.0,GENERAL LONDON EVENING MERCURY,/cygdrive/w/APEX/B0239GELOEVME/1746/05/29/service,0004,1481089.0,29,483,1746,154,9
http://link.galegroup.com/apps/doc/Z2000491007/BBCN,08,008,5476.0,FROM THURSDAY AUGUST 7 TO SATURDAY AUGUST 9 1746,0.5,B0239GELOEVME,0.0,GENERAL LONDON EVENING MERCURY,/cygdrive/w/APEX/B0239GELOEVME/1746/08/07/service,0004,1476225.0,07,252,1746,145,8
