gale_link,month,article,x2_var1,printedDate,st_caps,titleAbbreviation,st_nums,title,filepath,page,x1_var1,day,issueNumber,year,ltcount,block_number
http://link.galegroup.com/apps/doc/Z2001498980/BBCN,01,001,138657.65440000003,SATURDAY JANUARY 5 1745,0.4,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/01/05/service,0001,193783.6544,05,848,1745,1941,4
http://link.galegroup.com/apps/doc/Z2001498983/BBCN,01,004,256773.8888888889,SATURDAY JANUARY 5 1745,0.6666666666666666,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/01/05/service,0004,255571.80555555553,05,848,1745,6,12
http://link.galegroup.com/apps/doc/Z2001499054/BBCN,02,006,191268.75,SATURDAY FEBRUARY 9 1745,0.5,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/02/09/service,0004,192171.6875,09,853,1745,6,1
http://link.galegroup.com/apps/doc/Z2001499059/BBCN,02,011,192721.0,SATURDAY FEBRUARY 9 1745,0.5,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/02/09/service,0007,192721.0,09,853,1745,2,3
http://link.galegroup.com/apps/doc/Z2001499062/BBCN,02,014,235225.0,SATURDAY FEBRUARY 9 1745,0.5,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/02/09/service,0009,236682.25,09,853,1745,2,2
http://link.galegroup.com/apps/doc/Z2001499067/BBCN,02,004,180200.1875,SATURDAY FEBRUARY 16 1745,0.5,B0848UNSPWEJO,0.25,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/02/16/service,0004,173761.5,16,854,1745,6,5
http://link.galegroup.com/apps/doc/Z2001499068/BBCN,02,005,312481.0,SATURDAY FEBRUARY 16 1745,0.5,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/02/16/service,0005,290521.0,16,854,1745,6,11
http://link.galegroup.com/apps/doc/Z2001499156/BBCN,04,003,161443.44,SATURDAY APRIL 13 1745,0.2,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/04/13/service,0003,165161.75999999998,13,862,1745,6,5
http://link.galegroup.com/apps/doc/Z2001499164/BBCN,04,001,238632.25,SATURDAY APRIL 20 1745,0.5,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/04/20/service,0001,238632.25,20,863,1745,2,4
http://link.galegroup.com/apps/doc/Z2001499236/BBCN,05,010,253512.25,SATURDAY MAY 25 1745,0.0,B0848UNSPWEJO,0.5,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/05/25/service,0008,238632.25,25,868,1745,4,2
http://link.galegroup.com/apps/doc/Z2001499313/BBCN,07,002,247009.0,SATURDAY JULY 6 1745,0.5,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/07/06/service,0001,251001.0,06,874,1745,2,5
http://link.galegroup.com/apps/doc/Z2001499410/BBCN,08,012,202248.0,SATURDAY AUGUST 24 1745,0.6666666666666666,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/08/24/service,0008,206938.88888888888,24,881,1745,3,1
http://link.galegroup.com/apps/doc/Z2001499428/BBCN,09,002,241081.0,SATURDAY SEPTEMBER 7 1745,0.5,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/09/07/service,0001,236196.0,07,883,1745,2,8
http://link.galegroup.com/apps/doc/Z2001499438/BBCN,09,002,224676.0,SATURDAY SEPTEMBER 14 1745,0.5,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/09/14/service,0002,223256.25,14,884,1745,3,3
http://link.galegroup.com/apps/doc/Z2001499489/BBCN,10,001,139858.05991735516,SATURDAY OCTOBER 12 1745,0.5454545454545454,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/10/12/service,0001,195860.6875,12,888,1745,3747,3
http://link.galegroup.com/apps/doc/Z2001499534/BBCN,11,003,252004.0,SATURDAY NOVEMBER 9 1745,0.5,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/11/09/service,0002,247009.0,09,892,1745,2,5
http://link.galegroup.com/apps/doc/Z2001499564/BBCN,11,008,181905.2,SATURDAY NOVEMBER 23 1745,0.2,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/11/23/service,0005,180455.44,23,894,1745,6,5
http://link.galegroup.com/apps/doc/Z2001499587/BBCN,12,002,244530.25,SATURDAY DECEMBER 7 1745,0.5,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/12/07/service,0001,241081.0,07,896,1745,2,3
