gale_link,month,article,x2_var1,printedDate,st_caps,titleAbbreviation,st_nums,title,filepath,page,x1_var1,day,issueNumber,year,ltcount,block_number
http://link.galegroup.com/apps/doc/Z2001498980/BBCN,01,001,40913.252568956195,SATURDAY JANUARY 5 1745,0.5116279069767442,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/01/05/service,0001,31041.861546782045,05,848,1745,3486,2
http://link.galegroup.com/apps/doc/Z2001498981/BBCN,01,002,29159.289940828403,SATURDAY JANUARY 5 1745,0.3076923076923077,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/01/05/service,0002,63449.1597633136,05,848,1745,904,5
http://link.galegroup.com/apps/doc/Z2001498984/BBCN,01,005,363.2517006802721,SATURDAY JANUARY 5 1745,0.4523809523809524,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/01/05/service,0005,26374.657596371875,05,848,1745,3494,1
http://link.galegroup.com/apps/doc/Z2001498984/BBCN,01,005,20554.404844290653,SATURDAY JANUARY 5 1745,0.27941176470588236,B0848UNSPWEJO,0.029411764705882353,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/01/05/service,0005,68940.80103806227,05,848,1745,3348,2
http://link.galegroup.com/apps/doc/Z2001498984/BBCN,01,005,199.28,SATURDAY JANUARY 5 1745,0.44,B0848UNSPWEJO,0.04,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/01/05/service,0005,36989.3696,05,848,1745,2014,7
http://link.galegroup.com/apps/doc/Z2001498987/BBCN,01,008,32252.93847566575,SATURDAY JANUARY 5 1745,0.696969696969697,B0848UNSPWEJO,0.09090909090909091,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/01/05/service,0008,42864.21120293847,05,848,1745,1648,2
http://link.galegroup.com/apps/doc/Z2001498989/BBCN,01,010,4041.46484375,SATURDAY JANUARY 5 1745,0.3958333333333333,B0848UNSPWEJO,0.041666666666666664,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/01/05/service,0010,50812.26388888891,05,848,1745,4147,2
http://link.galegroup.com/apps/doc/Z2001498989/BBCN,01,010,11010.53561016243,SATURDAY JANUARY 5 1745,0.20408163265306123,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/01/05/service,0010,47897.49687630158,05,848,1745,3936,3
http://link.galegroup.com/apps/doc/Z2001498990/BBCN,01,001,5446.9743750000025,SATURDAY JANUARY 12 1745,0.35,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/01/12/service,0001,38093.22749999999,12,849,1745,3190,1
http://link.galegroup.com/apps/doc/Z2001498990/BBCN,01,001,20306.071111111112,SATURDAY JANUARY 12 1745,0.24444444444444444,B0848UNSPWEJO,0.022222222222222223,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/01/12/service,0001,59813.369876543205,12,849,1745,3026,2
http://link.galegroup.com/apps/doc/Z2001498993/BBCN,01,004,9962.091847632611,SATURDAY JANUARY 12 1745,0.4716981132075472,B0848UNSPWEJO,0.09433962264150944,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/01/12/service,0004,40384.99608401568,12,849,1745,4142,0
http://link.galegroup.com/apps/doc/Z2001498997/BBCN,01,008,16829.617283950614,SATURDAY JANUARY 12 1745,0.7222222222222222,B0848UNSPWEJO,0.037037037037037035,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/01/12/service,0008,34663.936899862834,12,849,1745,3758,0
http://link.galegroup.com/apps/doc/Z2001498997/BBCN,01,008,306.53061224489795,SATURDAY JANUARY 12 1745,0.2857142857142857,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/01/12/service,0008,56038.204081632655,12,849,1745,1145,1
http://link.galegroup.com/apps/doc/Z2001498998/BBCN,01,009,17302.206280991737,SATURDAY JANUARY 12 1745,0.34545454545454546,B0848UNSPWEJO,0.05454545454545454,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/01/12/service,0009,46737.37322314047,12,849,1745,2914,0
