gale_link,month,article,x2_var1,printedDate,st_caps,titleAbbreviation,st_nums,title,filepath,page,x1_var1,day,issueNumber,year,ltcount,block_number
http://link.galegroup.com/apps/doc/Z2001498983/BBCN,01,004,19699.583333333332,SATURDAY JANUARY 5 1745,0.5833333333333334,B0848UNSPWEJO,0.125,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/01/05/service,0004,90307.97222222223,05,848,1745,1582,0
http://link.galegroup.com/apps/doc/Z2001498983/BBCN,01,004,16971.455782312925,SATURDAY JANUARY 5 1745,0.6666666666666666,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/01/05/service,0004,101615.83673469388,05,848,1745,1457,1
http://link.galegroup.com/apps/doc/Z2001498983/BBCN,01,004,8243.421875,SATURDAY JANUARY 5 1745,0.6875,B0848UNSPWEJO,0.03125,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/01/05/service,0004,92479.1240234375,05,848,1745,1945,2
http://link.galegroup.com/apps/doc/Z2001498983/BBCN,01,004,13238.079548508467,SATURDAY JANUARY 5 1745,0.45901639344262296,B0848UNSPWEJO,0.08196721311475409,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/01/05/service,0004,109765.9247514109,05,848,1745,4101,13
http://link.galegroup.com/apps/doc/Z2001498987/BBCN,01,008,5602.56,SATURDAY JANUARY 5 1745,0.2,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/01/05/service,0008,76842.16,05,848,1745,267,3
http://link.galegroup.com/apps/doc/Z2001498993/BBCN,01,004,31032.390399999997,SATURDAY JANUARY 12 1745,0.32,B0848UNSPWEJO,0.08,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/01/12/service,0004,107715.1776,12,849,1745,2400,2
http://link.galegroup.com/apps/doc/Z2001498996/BBCN,01,007,50625.0,SATURDAY JANUARY 12 1745,0.5,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/01/12/service,0007,82369.0,12,849,1745,6,1
http://link.galegroup.com/apps/doc/Z2001498996/BBCN,01,007,2384.4959630911185,SATURDAY JANUARY 12 1745,0.23529411764705882,B0848UNSPWEJO,0.0392156862745098,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/01/12/service,0007,102998.9811610919,12,849,1745,3837,2
http://link.galegroup.com/apps/doc/Z2001498998/BBCN,01,009,19314.10743801653,SATURDAY JANUARY 12 1745,0.2727272727272727,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/01/12/service,0009,124420.55991735538,12,849,1745,2891,2
http://link.galegroup.com/apps/doc/Z2001499000/BBCN,01,001,2074.4938016528927,SATURDAY JANUARY 19 1745,0.3181818181818182,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/01/19/service,0001,105754.54958677686,19,850,1745,3283,2
http://link.galegroup.com/apps/doc/Z2001499001/BBCN,01,002,37617.10775047259,SATURDAY JANUARY 19 1745,0.2608695652173913,B0848UNSPWEJO,0.043478260869565216,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/01/19/service,0002,73589.3799621928,19,850,1745,1382,3
http://link.galegroup.com/apps/doc/Z2001499002/BBCN,01,003,21320.9275,SATURDAY JANUARY 19 1745,0.45,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/01/19/service,0002,72437.24750000003,19,850,1745,2175,0
http://link.galegroup.com/apps/doc/Z2001499003/BBCN,01,004,4813.516388888889,SATURDAY JANUARY 19 1745,0.5333333333333333,B0848UNSPWEJO,0.08333333333333333,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/01/19/service,0004,101315.3488888889,19,850,1745,4241,0
http://link.galegroup.com/apps/doc/Z2001499004/BBCN,01,005,1935.8506111362608,SATURDAY JANUARY 19 1745,0.46808510638297873,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/01/19/service,0005,124085.54368492529,19,850,1745,3452,4
http://link.galegroup.com/apps/doc/Z2001499011/BBCN,01,001,2051.168395061728,SATURDAY JANUARY 26 1745,0.17777777777777778,B0848UNSPWEJO,0.044444444444444446,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/01/26/service,0001,131254.10172839504,26,851,1745,3548,2
http://link.galegroup.com/apps/doc/Z2001499013/BBCN,01,003,20306.25,SATURDAY JANUARY 26 1745,0.5,B0848UNSPWEJO,0.0,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/01/26/service,0002,89401.0,26,851,1745,5,13
http://link.galegroup.com/apps/doc/Z2001499042/BBCN,02,016,10461.67441860465,SATURDAY FEBRUARY 2 1745,0.4418604651162791,B0848UNSPWEJO,0.023255813953488372,UNIVERSAL SPECTATOR AND WEEKLY JOURNAL,/cygdrive/w/APEX/B0848UNSPWEJO/1745/02/02/service,0008,110908.44456462954,02,852,1745,3551,2
